# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   23814   2   -4.150432    1.820233E-04    1.468721E-04    2.657901E+02    3.294023E+02
   23815   2   -4.147149    1.823442E-04    1.462020E-04    2.653224E+02    3.309121E+02
   23816   2   -4.142817    1.828044E-04    1.454243E-04    2.646545E+02    3.326816E+02
   23817   2   -4.137474    1.834103E-04    1.445322E-04    2.637802E+02    3.347351E+02
   23818   2   -4.131164    1.840657E-04    1.434411E-04    2.628409E+02    3.372813E+02
   23819   2   -4.123938    1.837811E-04    1.413772E-04    2.632480E+02    3.422050E+02
   23820   2   -4.115852    1.765416E-04    1.337991E-04    2.740431E+02    3.615870E+02
   23821   2   -4.106969    1.441147E-04    1.074370E-04    3.357047E+02    4.503103E+02
   24100   2   -4.101070    1.060947E-04    8.199142E-05    4.560075E+02    5.900617E+02
   24101   2   -4.111256    1.658736E-04    1.299451E-04    2.916678E+02    3.723109E+02
   24102   2   -4.120718    1.842831E-04    1.461517E-04    2.625308E+02    3.310260E+02
   24103   2   -4.129388    1.859930E-04    1.491349E-04    2.601173E+02    3.244043E+02
   24104   2   -4.137205    1.851430E-04    1.498420E-04    2.613116E+02    3.228734E+02
   24105   2   -4.144107    1.842469E-04    1.502450E-04    2.625824E+02    3.220074E+02
   24106   2   -4.150044    1.835058E-04    1.505117E-04    2.636430E+02    3.214368E+02
   24107   2   -4.154968    1.829063E-04    1.506436E-04    2.645070E+02    3.211553E+02
   24108   2   -4.158841    1.824295E-04    1.506398E-04    2.651983E+02    3.211635E+02
   24109   2   -4.161630    1.820597E-04    1.505032E-04    2.657369E+02    3.214549E+02
   24110   2   -4.163315    1.817891E-04    1.502420E-04    2.661326E+02    3.220138E+02
   24111   2   -4.163883    1.816146E-04    1.498646E-04    2.663882E+02    3.228247E+02
   24112   2   -4.163329    1.815382E-04    1.493768E-04    2.665004E+02    3.238790E+02
   24113   2   -4.161659    1.815656E-04    1.487800E-04    2.664601E+02    3.251782E+02
   24114   2   -4.158890    1.817063E-04    1.480724E-04    2.662539E+02    3.267320E+02
   24115   2   -4.155046    1.819727E-04    1.472514E-04    2.658641E+02    3.285537E+02
   24116   2   -4.150158    1.823817E-04    1.463177E-04    2.652678E+02    3.306504E+02
   24117   2   -4.144270    1.829504E-04    1.452747E-04    2.644432E+02    3.330242E+02
   24118   2   -4.137427    1.836870E-04    1.441216E-04    2.633828E+02    3.356888E+02
   24119   2   -4.129686    1.844056E-04    1.427098E-04    2.623564E+02    3.390097E+02
   24120   2   -4.121104    1.828435E-04    1.393017E-04    2.645978E+02    3.473038E+02
   24121   2   -4.111746    1.660016E-04    1.242525E-04    2.914430E+02    3.893684E+02
   24122   2   -4.101678    1.094251E-04    8.041442E-05    4.421289E+02    6.016334E+02
   24399   2   -4.104756    1.330837E-04    1.033165E-04    3.635306E+02    4.682700E+02
   24400   2   -4.115389    1.787029E-04    1.407623E-04    2.707287E+02    3.437000E+02
   24401   2   -4.125322    1.871393E-04    1.493835E-04    2.585240E+02    3.238644E+02
   24402   2   -4.134488    1.867230E-04    1.508318E-04    2.591004E+02    3.207547E+02
   24403   2   -4.142821    1.856456E-04    1.514887E-04    2.606040E+02    3.193638E+02
   24404   2   -4.150261    1.847179E-04    1.519966E-04    2.619128E+02    3.182966E+02
   24405   2   -4.156751    1.839457E-04    1.523676E-04    2.630124E+02    3.175215E+02
   24406   2   -4.162241    1.833013E-04    1.525893E-04    2.639371E+02    3.170603E+02
   24407   2   -4.166688    1.827620E-04    1.526553E-04    2.647158E+02    3.169233E+02
   24408   2   -4.170058    1.823137E-04    1.525683E-04    2.653668E+02    3.171039E+02
   24409   2   -4.172323    1.819469E-04    1.523358E-04    2.659017E+02    3.175879E+02
   24410   2   -4.173466    1.816586E-04    1.519680E-04    2.663238E+02    3.183566E+02
   24411   2   -4.173479    1.814505E-04    1.514739E-04    2.666292E+02    3.193949E+02
   24412   2   -4.172362    1.813291E-04    1.508588E-04    2.668077E+02    3.206973E+02
   24413   2   -4.170127    1.813044E-04    1.501231E-04    2.668441E+02    3.222688E+02
   24414   2   -4.166793    1.813898E-04    1.492655E-04    2.667185E+02    3.241203E+02
   24415   2   -4.162389    1.816021E-04    1.482860E-04    2.664066E+02    3.262614E+02
   24416   2   -4.156952    1.819595E-04    1.471876E-04    2.658833E+02    3.286963E+02
   24417   2   -4.150526    1.824838E-04    1.459796E-04    2.651195E+02    3.314162E+02
   24418   2   -4.143163    1.831971E-04    1.446769E-04    2.640872E+02    3.344004E+02
   24419   2   -4.134920    1.840901E-04    1.432713E-04    2.628061E+02    3.376811E+02
   24420   2   -4.125858    1.844754E-04    1.412312E-04    2.622571E+02    3.425589E+02
   24421   2   -4.116043    1.772528E-04    1.332137E-04    2.729434E+02    3.631760E+02
   24422   2   -4.105543    1.360029E-04    1.001917E-04    3.557276E+02    4.828742E+02
   24698   2   -4.107999    1.532362E-04    1.194610E-04    3.157217E+02    4.049859E+02
   24699   2   -4.119054    1.852000E-04    1.466216E-04    2.612311E+02    3.299650E+02
   24700   2   -4.129437    1.883445E-04    1.512505E-04    2.568697E+02    3.198667E+02
   24701   2   -4.139078    1.872756E-04    1.523131E-04    2.583358E+02    3.176352E+02
   24702   2   -4.147910    1.861709E-04    1.530794E-04    2.598687E+02    3.160451E+02
   24703   2   -4.155870    1.852408E-04    1.537203E-04    2.611735E+02    3.147274E+02
   24704   2   -4.162899    1.844561E-04    1.542177E-04    2.622847E+02    3.137124E+02
   24705   2   -4.168944    1.837843E-04    1.545524E-04    2.632434E+02    3.130330E+02
   24706   2   -4.173960    1.832027E-04    1.547149E-04    2.640791E+02    3.127043E+02
   24707   2   -4.177906    1.826943E-04    1.547031E-04    2.648140E+02    3.127280E+02
   24708   2   -4.180751    1.822499E-04    1.545236E-04    2.654596E+02    3.130914E+02
   24709   2   -4.182475    1.818659E-04    1.541871E-04    2.660201E+02    3.137747E+02
   24710   2   -4.183063    1.815440E-04    1.537052E-04    2.664918E+02    3.147583E+02
   24711   2   -4.182511    1.812907E-04    1.530867E-04    2.668642E+02    3.160300E+02
   24712   2   -4.180826    1.811165E-04    1.523354E-04    2.671209E+02    3.175887E+02
   24713   2   -4.178023    1.810357E-04    1.514515E-04    2.672401E+02    3.194421E+02
   24714   2   -4.174126    1.810654E-04    1.504350E-04    2.671963E+02    3.216007E+02
   24715   2   -4.169168    1.812247E-04    1.492885E-04    2.669614E+02    3.240706E+02
   24716   2   -4.163190    1.815359E-04    1.480208E-04    2.665038E+02    3.268460E+02
   24717   2   -4.156239    1.820220E-04    1.466466E-04    2.657920E+02    3.299088E+02
   24718   2   -4.148370    1.827095E-04    1.451870E-04    2.647920E+02    3.332255E+02
   24719   2   -4.139642    1.836181E-04    1.436614E-04    2.634816E+02    3.367640E+02
   24720   2   -4.130119    1.845789E-04    1.419426E-04    2.621102E+02    3.408420E+02
   24721   2   -4.119867    1.822008E-04    1.374507E-04    2.655312E+02    3.519807E+02
   24722   2   -4.108956    1.548723E-04    1.143894E-04    3.123864E+02    4.229415E+02
   24997   2   -4.110808    1.670004E-04    1.306811E-04    2.897000E+02    3.702142E+02
   24998   2   -4.122262    1.883828E-04    1.498280E-04    2.568175E+02    3.229035E+02
   24999   2   -4.133070    1.890212E-04    1.526179E-04    2.559501E+02    3.170007E+02
   25000   2   -4.143164    1.877879E-04    1.536755E-04    2.576311E+02    3.148191E+02
   25001   2   -4.152473    1.867001E-04    1.545870E-04    2.591322E+02    3.129630E+02
   25002   2   -4.160935    1.857868E-04    1.553788E-04    2.604061E+02    3.113681E+02
   25003   2   -4.168487    1.850060E-04    1.560211E-04    2.615050E+02    3.100863E+02
   25004   2   -4.175074    1.843259E-04    1.564918E-04    2.624698E+02    3.091535E+02
   25005   2   -4.180647    1.837204E-04    1.567756E-04    2.633349E+02    3.085939E+02
   25006   2   -4.185162    1.831721E-04    1.568667E-04    2.641231E+02    3.084148E+02
   25007   2   -4.188585    1.826701E-04    1.567674E-04    2.648490E+02    3.086100E+02
   25008   2   -4.190888    1.822100E-04    1.564877E-04    2.655178E+02    3.091618E+02
   25009   2   -4.192056    1.817933E-04    1.560403E-04    2.661265E+02    3.100481E+02
   25010   2   -4.192078    1.814263E-04    1.554373E-04    2.666648E+02    3.112509E+02
   25011   2   -4.190957    1.811200E-04    1.546860E-04    2.671158E+02    3.127627E+02
   25012   2   -4.188701    1.808890E-04    1.537891E-04    2.674569E+02    3.145867E+02
