# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   29185   2   -4.136878    1.838930E-04    1.425143E-04    2.630878E+02    3.394746E+02
   29186   2   -4.150561    1.823002E-04    1.445683E-04    2.653865E+02    3.346515E+02
   29187   2   -4.163812    1.809691E-04    1.467941E-04    2.673385E+02    3.295773E+02
   29188   2   -4.176574    1.798967E-04    1.491899E-04    2.689321E+02    3.242847E+02
   29189   2   -4.188792    1.790650E-04    1.517366E-04    2.701812E+02    3.188419E+02
   29190   2   -4.200411    1.784563E-04    1.544105E-04    2.711028E+02    3.133207E+02
   29191   2   -4.211377    1.780442E-04    1.571751E-04    2.717303E+02    3.078096E+02
   29192   2   -4.221637    1.774898E-04    1.597147E-04    2.725790E+02    3.029151E+02
   29193   2   -4.231142    1.730931E-04    1.586621E-04    2.795027E+02    3.049248E+02
   29194   2   -4.239843    1.523228E-04    1.422309E-04    3.176150E+02    3.401511E+02
   29195   2   -4.247696    1.083301E-04    1.030673E-04    4.465980E+02    4.694019E+02
   29210   2   -4.247480    1.142719E-04    1.068485E-04    4.233763E+02    4.527906E+02
   29211   2   -4.239628    1.608407E-04    1.494901E-04    3.007945E+02    3.236335E+02
   29212   2   -4.230939    1.823514E-04    1.678830E-04    2.653120E+02    2.881770E+02
   29213   2   -4.221457    1.866984E-04    1.697672E-04    2.591345E+02    2.849786E+02
   29214   2   -4.211231    1.870857E-04    1.677817E-04    2.585981E+02    2.883509E+02
   29215   2   -4.200310    1.872009E-04    1.654444E-04    2.584390E+02    2.924245E+02
   29216   2   -4.188749    1.873722E-04    1.630647E-04    2.582026E+02    2.966921E+02
   29217   2   -4.176600    1.876443E-04    1.606769E-04    2.578282E+02    3.011012E+02
   29218   2   -4.163917    1.880609E-04    1.583100E-04    2.572570E+02    3.056030E+02
   29219   2   -4.150757    1.886716E-04    1.559943E-04    2.564245E+02    3.101395E+02
   29220   2   -4.137173    1.895057E-04    1.537416E-04    2.552958E+02    3.146838E+02
   29221   2   -4.123222    1.883828E-04    1.498280E-04    2.568175E+02    3.229035E+02
   29222   2   -4.108956    1.532362E-04    1.194610E-04    3.157217E+02    4.049859E+02
   29482   2   -4.105300    1.360029E-04    1.001917E-04    3.557276E+02    4.828742E+02
   29483   2   -4.119729    1.822008E-04    1.374507E-04    2.655312E+02    3.519807E+02
   29484   2   -4.133848    1.842735E-04    1.422848E-04    2.625445E+02    3.400222E+02
   29485   2   -4.147605    1.827054E-04    1.442992E-04    2.647978E+02    3.352757E+02
   29486   2   -4.160946    1.813617E-04    1.464584E-04    2.667598E+02    3.303328E+02
   29487   2   -4.173817    1.802806E-04    1.487954E-04    2.683594E+02    3.251446E+02
   29488   2   -4.186163    1.794442E-04    1.512932E-04    2.696103E+02    3.197763E+02
   29489   2   -4.197933    1.788346E-04    1.539306E-04    2.705293E+02    3.142976E+02
   29490   2   -4.209072    1.784311E-04    1.566780E-04    2.711411E+02    3.087861E+02
   29491   2   -4.219532    1.780605E-04    1.593690E-04    2.717054E+02    3.035723E+02
   29492   2   -4.229262    1.753164E-04    1.598247E-04    2.759582E+02    3.027067E+02
   29493   2   -4.238217    1.592166E-04    1.478302E-04    3.038628E+02    3.272674E+02
   29494   2   -4.246353    1.185740E-04    1.121644E-04    4.080151E+02    4.313313E+02
   29510   2   -4.245999    1.249687E-04    1.167692E-04    3.871368E+02    4.143217E+02
   29511   2   -4.237852    1.675393E-04    1.553792E-04    2.887680E+02    3.113673E+02
   29512   2   -4.228897    1.839817E-04    1.688194E-04    2.629609E+02    2.865784E+02
   29513   2   -4.219177    1.866301E-04    1.690338E-04    2.592294E+02    2.862149E+02
   29514   2   -4.208740    1.868166E-04    1.668294E-04    2.589706E+02    2.899969E+02
   29515   2   -4.197634    1.868938E-04    1.644400E-04    2.588636E+02    2.942107E+02
   29516   2   -4.185910    1.870341E-04    1.620244E-04    2.586694E+02    2.985970E+02
   29517   2   -4.173621    1.872782E-04    1.596119E-04    2.583323E+02    3.031103E+02
   29518   2   -4.160819    1.876702E-04    1.572307E-04    2.577926E+02    3.077008E+02
   29519   2   -4.147557    1.882600E-04    1.549104E-04    2.569850E+02    3.123095E+02
   29520   2   -4.133889    1.890212E-04    1.526179E-04    2.559501E+02    3.170007E+02
   29521   2   -4.119867    1.852000E-04    1.466216E-04    2.612311E+02    3.299650E+02
   29522   2   -4.105544    1.330837E-04    1.033165E-04    3.635306E+02    4.682700E+02
   29781   2   -4.101735    1.094251E-04    8.041442E-05    4.421289E+02    6.016334E+02
   29782   2   -4.116194    1.772528E-04    1.332137E-04    2.729434E+02    3.631760E+02
   29783   2   -4.130355    1.845789E-04    1.419426E-04    2.621102E+02    3.408420E+02
   29784   2   -4.144167    1.831475E-04    1.439984E-04    2.641587E+02    3.359760E+02
   29785   2   -4.157577    1.817861E-04    1.460790E-04    2.661370E+02    3.311906E+02
   29786   2   -4.170534    1.806910E-04    1.483437E-04    2.677499E+02    3.261346E+02
   29787   2   -4.182986    1.798446E-04    1.507779E-04    2.690100E+02    3.208694E+02
   29788   2   -4.194880    1.792291E-04    1.533623E-04    2.699338E+02    3.154621E+02
   29789   2   -4.206167    1.788259E-04    1.560722E-04    2.705424E+02    3.099848E+02
   29790   2   -4.216798    1.785604E-04    1.588293E-04    2.709447E+02    3.046037E+02
   29791   2   -4.226726    1.771807E-04    1.605032E-04    2.730546E+02    3.014270E+02
   29792   2   -4.235905    1.665851E-04    1.536421E-04    2.904222E+02    3.148876E+02
   29793   2   -4.244293    1.326338E-04    1.245818E-04    3.647636E+02    3.883392E+02
   29810   2   -4.243782    1.392476E-04    1.298552E-04    3.474388E+02    3.725688E+02
   29811   2   -4.235370    1.744035E-04    1.611821E-04    2.774026E+02    3.001574E+02
   29812   2   -4.226178    1.850901E-04    1.690611E-04    2.613862E+02    2.861687E+02
   29813   2   -4.216249    1.863737E-04    1.679511E-04    2.595860E+02    2.880601E+02
   29814   2   -4.205628    1.864381E-04    1.656192E-04    2.594963E+02    2.921159E+02
   29815   2   -4.194363    1.864879E-04    1.632022E-04    2.594271E+02    2.964420E+02
   29816   2   -4.182503    1.866058E-04    1.607722E-04    2.592632E+02    3.009226E+02
   29817   2   -4.170097    1.868311E-04    1.583559E-04    2.589504E+02    3.055144E+02
   29818   2   -4.157197    1.872087E-04    1.559809E-04    2.584281E+02    3.101663E+02
   29819   2   -4.143854    1.877879E-04    1.536755E-04    2.576311E+02    3.148191E+02
   29820   2   -4.130119    1.883445E-04    1.512505E-04    2.568697E+02    3.198667E+02
   29821   2   -4.116044    1.787029E-04    1.407623E-04    2.707287E+02    3.437000E+02
   29822   2   -4.101678    1.060947E-04    8.199142E-05    4.560075E+02    5.900617E+02
   30081   2   -4.112204    1.660016E-04    1.242525E-04    2.914430E+02    3.893684E+02
   30082   2   -4.126390    1.844754E-04    1.412312E-04    2.622571E+02    3.425589E+02
   30083   2   -4.140239    1.836181E-04    1.436614E-04    2.634816E+02    3.367640E+02
   30084   2   -4.153700    1.822367E-04    1.456546E-04    2.654788E+02    3.321556E+02
   30085   2   -4.166723    1.811217E-04    1.478336E-04    2.671133E+02    3.272597E+02
   30086   2   -4.179257    1.802597E-04    1.501897E-04    2.683906E+02    3.221259E+02
   30087   2   -4.191252    1.796328E-04    1.527055E-04    2.693272E+02    3.168190E+02
   30088   2   -4.202661    1.792229E-04    1.553589E-04    2.699432E+02    3.114079E+02
   30089   2   -4.213437    1.789969E-04    1.581104E-04    2.702840E+02    3.059887E+02
   30090   2   -4.223533    1.784549E-04    1.605045E-04    2.711050E+02    3.014245E+02
   30091   2   -4.232907    1.728393E-04    1.582110E-04    2.799132E+02    3.057942E+02
   30092   2   -4.241516    1.483822E-04    1.382466E-04    3.260499E+02    3.499544E+02
   30093   2   -4.249324    1.008539E-04    9.564637E-05    4.797038E+02    5.058216E+02
   30109   2   -4.248688    1.053645E-04    9.872670E-05    4.591680E+02    4.900397E+02
   30110   2   -4.240833    1.548384E-04    1.438906E-04    3.124549E+02    3.362276E+02
   30111   2   -4.232187    1.798865E-04    1.654295E-04    2.689474E+02    2.924509E+02
   30112   2   -4.222787    1.855071E-04    1.684596E-04    2.607986E+02    2.871905E+02
   30113   2   -4.212677    1.859652E-04    1.665610E-04    2.601562E+02    2.904642E+02
   30114   2   -4.201899    1.859711E-04    1.641777E-04    2.601479E+02    2.946807E+02
   30115   2   -4.190500    1.860035E-04    1.617566E-04    2.601026E+02    2.990914E+02
   30116   2   -4.178526    1.861085E-04    1.593338E-04    2.599559E+02    3.036394E+02
   30117   2   -4.166025    1.863255E-04    1.569348E-04    2.596531E+02    3.082808E+02
   30118   2   -4.153048    1.867001E-04    1.545870E-04    2.591322E+02    3.129630E+02
   30119   2   -4.139642    1.872756E-04    1.523131E-04    2.583358E+02    3.176352E+02
   30120   2   -4.125859    1.871393E-04    1.493835E-04    2.585240E+02    3.238644E+02
   30121   2   -4.111746    1.658736E-04    1.299451E-04    2.916678E+02    3.723109E+02
   30380   2   -4.107749    1.441147E-04    1.074370E-04    3.357047E+02    4.503103E+02
   30381   2   -4.121947    1.828435E-04    1.393017E-04    2.645978E+02    3.473038E+02
   30382   2   -4.135816    1.840901E-04    1.432713E-04    2.628061E+02    3.376811E+02
   30383   2   -4.149309    1.827095E-04    1.451870E-04    2.647920E+02    3.332255E+02
   30384   2   -4.162378    1.815672E-04    1.472670E-04    2.664577E+02    3.285190E+02
   30385   2   -4.174973    1.806833E-04    1.495307E-04    2.677614E+02    3.235455E+02
   30386   2   -4.187047    1.800390E-04    1.519626E-04    2.687195E+02    3.183678E+02
   30387   2   -4.198554    1.796163E-04    1.545427E-04    2.693520E+02    3.130526E+02
   30388   2   -4.209449    1.793937E-04    1.572439E-04    2.696862E+02    3.076748E+02
   30389   2   -4.219687    1.792188E-04    1.599205E-04    2.699493E+02    3.025254E+02
   30390   2   -4.229227    1.770001E-04    1.606830E-04    2.733331E+02    3.010898E+02
   30391   2   -4.238029    1.627363E-04    1.502713E-04    2.972908E+02    3.219510E+02
   30392   2   -4.246057    1.245378E-04    1.169751E-04    3.884765E+02    4.135924E+02
   30409   2   -4.245248    1.292456E-04    1.206591E-04    3.743260E+02    4.009644E+02
   30410   2   -4.237160    1.686149E-04    1.558793E-04    2.869260E+02    3.103684E+02
   30411   2   -4.228308    1.831230E-04    1.673261E-04    2.641941E+02    2.891360E+02
   30412   2   -4.218729    1.853622E-04    1.671542E-04    2.610025E+02    2.894333E+02
   30413   2   -4.208464    1.854557E-04    1.649219E-04    2.608710E+02    2.933510E+02
   30414   2   -4.197555    1.854393E-04    1.625358E-04    2.608941E+02    2.976576E+02
   30415   2   -4.186045    1.854641E-04    1.601329E-04    2.608591E+02    3.021240E+02
   30416   2   -4.173980    1.855666E-04    1.577389E-04    2.607151E+02    3.067093E+02
   30417   2   -4.161406    1.857868E-04    1.553788E-04    2.604061E+02    3.113681E+02
   30418   2   -4.148370    1.861709E-04    1.530794E-04    2.598687E+02    3.160451E+02
   30419   2   -4.134920    1.867230E-04    1.508318E-04    2.591004E+02    3.207547E+02
   30420   2   -4.121104    1.842831E-04    1.461517E-04    2.625308E+02    3.310260E+02
   30421   2   -4.106970    1.429092E-04    1.113115E-04    3.385365E+02    4.346360E+02
   30679   2   -4.102822    1.092975E-04    8.118818E-05    4.426451E+02    5.958995E+02
   30680   2   -4.117016    1.765416E-04    1.337991E-04    2.740431E+02    3.615870E+02
   30681   2   -4.130890    1.844056E-04    1.427098E-04    2.623564E+02    3.390097E+02
   30682   2   -4.144399    1.831971E-04    1.446769E-04    2.640872E+02    3.344004E+02
   30683   2   -4.157496    1.820220E-04    1.466466E-04    2.657920E+02    3.299088E+02
   30684   2   -4.170133    1.811097E-04    1.488051E-04    2.671309E+02    3.251232E+02
   30685   2   -4.182265    1.804421E-04    1.511392E-04    2.681192E+02    3.201023E+02
   30686   2   -4.193847    1.800006E-04    1.536307E-04    2.687769E+02    3.149111E+02
   30687   2   -4.204836    1.797658E-04    1.562566E-04    2.691279E+02    3.096190E+02
   30688   2   -4.215190    1.796938E-04    1.589680E-04    2.692358E+02    3.043379E+02
   30689   2   -4.224869    1.791355E-04    1.611767E-04    2.700750E+02    3.001675E+02
   30690   2   -4.233836    1.729448E-04    1.581852E-04    2.797425E+02    3.058441E+02
   30691   2   -4.242054    1.482462E-04    1.378184E-04    3.263491E+02    3.510416E+02
   30692   2   -4.249492    1.023081E-04    9.662803E-05    4.728851E+02    5.006829E+02
   30708   2   -4.248583    1.053086E-04    9.873299E-05    4.594116E+02    4.900085E+02
   30709   2   -4.241062    1.526601E-04    1.417138E-04    3.169132E+02    3.413923E+02
   30710   2   -4.232770    1.779473E-04    1.633638E-04    2.718783E+02    2.961489E+02
   30711   2   -4.223740    1.842963E-04    1.670860E-04    2.625121E+02    2.895515E+02
   30712   2   -4.214010    1.849067E-04    1.653997E-04    2.616455E+02    2.925036E+02
   30713   2   -4.203616    1.848890E-04    1.630873E-04    2.616705E+02    2.966509E+02
   30714   2   -4.192600    1.848682E-04    1.607285E-04    2.617000E+02    3.010046E+02
   30715   2   -4.181002    1.848955E-04    1.583653E-04    2.616613E+02    3.054961E+02
   30716   2   -4.168867    1.850060E-04    1.560211E-04    2.615050E+02    3.100863E+02
   30717   2   -4.156239    1.852408E-04    1.537203E-04    2.611735E+02    3.147274E+02
   30718   2   -4.143163    1.856456E-04    1.514887E-04    2.606040E+02    3.193638E+02
   30719   2   -4.129686    1.859930E-04    1.491349E-04    2.601173E+02    3.244043E+02
   30720   2   -4.115853    1.767426E-04    1.392191E-04    2.737314E+02    3.475098E+02
   30721   2   -4.101710    1.080865E-04    8.368889E-05    4.476046E+02    5.780934E+02
   30979   2   -4.111591    1.592166E-04    1.200301E-04    3.038628E+02    4.030655E+02
   30980   2   -4.125457    1.837811E-04    1.413772E-04    2.632480E+02    3.422050E+02
   30981   2   -4.138966    1.836870E-04    1.441216E-04    2.633828E+02    3.356888E+02
   30982   2   -4.152073    1.824838E-04    1.459796E-04    2.651195E+02    3.314162E+02
   30983   2   -4.164734    1.815359E-04    1.480208E-04    2.665038E+02    3.268460E+02
   30984   2   -4.176904    1.808382E-04    1.502441E-04    2.675319E+02    3.220093E+02
   30985   2   -4.188540    1.803716E-04    1.526331E-04    2.682240E+02    3.169692E+02
   30986   2   -4.199601    1.801168E-04    1.551671E-04    2.686035E+02    3.117930E+02
   30987   2   -4.210046    1.800508E-04    1.578178E-04    2.687020E+02    3.065561E+02
   30988   2   -4.219839    1.800306E-04    1.604480E-04    2.687321E+02    3.015306E+02
   30989   2   -4.228943    1.782981E-04    1.614661E-04    2.713433E+02    2.996295E+02
   30990   2   -4.237324    1.666038E-04    1.532427E-04    2.903895E+02    3.157083E+02
   30991   2   -4.244952    1.338921E-04    1.250269E-04    3.613357E+02    3.869567E+02
   31008   2   -4.243863    1.367460E-04    1.273741E-04    3.537945E+02    3.798260E+02
   31009   2   -4.236140    1.702873E-04    1.568707E-04    2.841081E+02    3.084068E+02
   31010   2   -4.227673    1.823326E-04    1.659555E-04    2.653393E+02    2.915239E+02
   31011   2   -4.218494    1.842526E-04    1.655442E-04    2.625743E+02    2.922482E+02
   31012   2   -4.208637    1.843349E-04    1.633956E-04    2.624570E+02    2.960911E+02
   31013   2   -4.198139    1.842994E-04    1.611037E-04    2.625076E+02    3.003035E+02
   31014   2   -4.187039    1.842857E-04    1.587946E-04    2.625272E+02    3.046703E+02
   31015   2   -4.175375    1.843259E-04    1.564918E-04    2.624698E+02    3.091535E+02
   31016   2   -4.163190    1.844561E-04    1.542177E-04    2.622847E+02    3.137124E+02
   31017   2   -4.150526    1.847179E-04    1.519966E-04    2.619128E+02    3.182966E+02
   31018   2   -4.137428    1.851430E-04    1.498420E-04    2.613116E+02    3.228734E+02
   31019   2   -4.123938    1.843241E-04    1.466400E-04    2.624725E+02    3.299236E+02
   31020   2   -4.110103    1.585988E-04    1.240623E-04    3.050465E+02    3.899655E+02
   31278   2   -4.105667    1.241075E-04    9.311689E-05    3.898234E+02    5.195620E+02
   31279   2   -4.119511    1.790777E-04    1.368960E-04    2.701620E+02    3.534070E+02
   31280   2   -4.133006    1.840657E-04    1.434411E-04    2.628409E+02    3.372813E+02
   31281   2   -4.146109    1.829504E-04    1.452747E-04    2.644432E+02    3.330242E+02
   31282   2   -4.158776    1.819595E-04    1.471876E-04    2.658833E+02    3.286963E+02
   31283   2   -4.170965    1.812247E-04    1.492885E-04    2.669614E+02    3.240706E+02
   31284   2   -4.182636    1.807266E-04    1.515628E-04    2.676972E+02    3.192075E+02
   31285   2   -4.193747    1.804453E-04    1.539916E-04    2.681145E+02    3.141731E+02
   31286   2   -4.204262    1.803602E-04    1.565508E-04    2.682410E+02    3.090371E+02
   31287   2   -4.214145    1.804358E-04    1.591997E-04    2.681287E+02    3.038951E+02
   31288   2   -4.223360    1.802926E-04    1.615890E-04    2.683416E+02    2.994015E+02
   31289   2   -4.231877    1.767654E-04    1.608318E-04    2.736960E+02    3.008112E+02
   31290   2   -4.239666    1.602531E-04    1.479331E-04    3.018974E+02    3.270397E+02
   31291   2   -4.246700    1.239803E-04    1.160068E-04    3.902234E+02    4.170446E+02
   31307   2   -4.245544    1.253574E-04    1.170845E-04    3.859366E+02    4.132059E+02
   31308   2   -4.238393    1.624884E-04    1.500444E-04    2.977443E+02    3.224378E+02
   31309   2   -4.230496    1.795401E-04    1.638362E-04    2.694663E+02    2.952950E+02
   31310   2   -4.221881    1.834052E-04    1.652783E-04    2.637875E+02    2.927185E+02
   31311   2   -4.212579    1.837615E-04    1.634500E-04    2.632760E+02    2.959927E+02
   31312   2   -4.202620    1.837435E-04    1.612503E-04    2.633018E+02    3.000304E+02
   31313   2   -4.192041    1.837171E-04    1.590151E-04    2.633396E+02    3.042478E+02
   31314   2   -4.180878    1.837204E-04    1.567756E-04    2.633349E+02    3.085939E+02
   31315   2   -4.169168    1.837843E-04    1.545524E-04    2.632434E+02    3.130330E+02
   31316   2   -4.156952    1.839457E-04    1.523676E-04    2.630124E+02    3.175215E+02
   31317   2   -4.144270    1.842469E-04    1.502450E-04    2.625824E+02    3.220074E+02
   31318   2   -4.131164    1.845771E-04    1.480856E-04    2.621128E+02    3.267028E+02
   31319   2   -4.117678    1.787021E-04    1.410217E-04    2.707299E+02    3.430677E+02
   31320   2   -4.103854    1.237091E-04    9.610117E-05    3.910788E+02    5.034278E+02
   31578   2   -4.113050    1.619746E-04    1.230471E-04    2.986888E+02    3.931827E+02
   31579   2   -4.126518    1.834869E-04    1.419860E-04    2.636701E+02    3.407378E+02
   31580   2   -4.139602    1.834103E-04    1.445322E-04    2.637802E+02    3.347351E+02
   31581   2   -4.152260    1.823817E-04    1.463177E-04    2.652678E+02    3.306504E+02
   31582   2   -4.164452    1.816021E-04    1.482860E-04    2.664066E+02    3.262614E+02
   31583   2   -4.176138    1.810654E-04    1.504350E-04    2.671963E+02    3.216007E+02
   31584   2   -4.187281    1.807511E-04    1.527472E-04    2.676609E+02    3.167325E+02
   31585   2   -4.197844    1.806384E-04    1.552007E-04    2.678280E+02    3.117254E+02
   31586   2   -4.207793    1.807044E-04    1.577681E-04    2.677301E+02    3.066525E+02
   31587   2   -4.217096    1.808855E-04    1.603823E-04    2.674619E+02    3.016543E+02
   31588   2   -4.225724    1.804860E-04    1.624063E-04    2.680541E+02    2.978948E+02
   31589   2   -4.233647    1.753907E-04    1.600546E-04    2.758413E+02    3.022718E+02
   31590   2   -4.240841    1.566182E-04    1.448176E-04    3.089040E+02    3.340754E+02
   31591   2   -4.247284    1.208957E-04    1.131091E-04    4.001798E+02    4.277286E+02
   31606   2   -4.246090    1.208957E-04    1.131091E-04    4.001798E+02    4.277286E+02
   31607   2   -4.239511    1.573644E-04    1.455057E-04    3.074394E+02    3.324956E+02
   31608   2   -4.232188    1.768037E-04    1.615540E-04    2.736368E+02    2.994664E+02
   31609   2   -4.224145    1.823954E-04    1.646380E-04    2.652480E+02    2.938569E+02
   31610   2   -4.215409    1.831584E-04    1.632479E-04    2.641430E+02    2.963591E+02
   31611   2   -4.206007    1.831932E-04    1.611697E-04    2.640927E+02    3.001804E+02
   31612   2   -4.195971    1.831779E-04    1.590248E-04    2.641148E+02    3.042293E+02
   31613   2   -4.185332    1.831721E-04    1.568667E-04    2.641231E+02    3.084148E+02
   31614   2   -4.174126    1.832027E-04    1.547149E-04    2.640791E+02    3.127043E+02
   31615   2   -4.162389    1.833013E-04    1.525893E-04    2.639371E+02    3.170603E+02
   31616   2   -4.150159    1.835058E-04    1.505117E-04    2.636430E+02    3.214368E+02
   31617   2   -4.137474    1.838450E-04    1.484944E-04    2.631565E+02    3.258034E+02
   31618   2   -4.124377    1.831452E-04    1.456075E-04    2.641619E+02    3.322632E+02
   31619   2   -4.110908    1.612783E-04    1.262573E-04    2.999783E+02    3.831858E+02
   31877   2   -4.106073    1.221115E-04    9.225686E-05    3.961954E+02    5.244055E+02
   31878   2   -4.119501    1.776679E-04    1.364960E-04    2.723058E+02    3.544427E+02
   31879   2   -4.132553    1.836931E-04    1.436286E-04    2.633741E+02    3.368411E+02
   31880   2   -4.145188    1.828044E-04    1.454243E-04    2.646545E+02    3.326816E+02
   31881   2   -4.157367    1.819727E-04    1.472514E-04    2.658641E+02    3.285537E+02
   31882   2   -4.169053    1.813898E-04    1.492655E-04    2.667185E+02    3.241203E+02
   31883   2   -4.180209    1.810357E-04    1.514515E-04    2.672401E+02    3.194421E+02
   31884   2   -4.190801    1.808890E-04    1.537891E-04    2.674569E+02    3.145867E+02
   31885   2   -4.200796    1.809272E-04    1.562533E-04    2.674003E+02    3.096256E+02
   31886   2   -4.210164    1.811247E-04    1.588122E-04    2.671088E+02    3.046366E+02
   31887   2   -4.218878    1.813832E-04    1.613662E-04    2.667281E+02    2.998149E+02
   31888   2   -4.226910    1.808033E-04    1.630882E-04    2.675837E+02    2.966494E+02
   31889   2   -4.234238    1.752496E-04    1.601434E-04    2.760635E+02    3.021043E+02
   31890   2   -4.240841    1.573644E-04    1.455057E-04    3.074394E+02    3.324956E+02
   31891   2   -4.246699    1.253574E-04    1.170845E-04    3.859366E+02    4.132059E+02
   31905   2   -4.245496    1.239803E-04    1.160068E-04    3.902234E+02    4.170446E+02
   31906   2   -4.239484    1.566182E-04    1.448176E-04    3.089040E+02    3.340754E+02
   31907   2   -4.232735    1.752496E-04    1.601434E-04    2.760635E+02    3.021043E+02
   31908   2   -4.225268    1.814471E-04    1.638347E-04    2.666342E+02    2.952976E+02
   31909   2   -4.217105    1.825368E-04    1.628087E-04    2.650425E+02    2.971586E+02
   31910   2   -4.208272    1.826475E-04    1.608712E-04    2.648817E+02    3.007374E+02
   31911   2   -4.198794    1.826624E-04    1.588300E-04    2.648602E+02    3.046023E+02
   31912   2   -4.188701    1.826701E-04    1.567674E-04    2.648490E+02    3.086100E+02
   31913   2   -4.178023    1.826943E-04    1.547031E-04    2.648140E+02    3.127280E+02
   31914   2   -4.166793    1.827620E-04    1.526553E-04    2.647158E+02    3.169233E+02
   31915   2   -4.155046    1.829063E-04    1.506436E-04    2.645070E+02    3.211553E+02
   31916   2   -4.142817    1.831650E-04    1.486891E-04    2.641334E+02    3.253770E+02
   31917   2   -4.130146    1.833709E-04    1.466491E-04    2.638369E+02    3.299031E+02
   31918   2   -4.117071    1.767742E-04    1.392636E-04    2.736825E+02    3.473988E+02
   31919   2   -4.103632    1.222311E-04    9.495558E-05    3.958075E+02    5.095014E+02
   32177   2   -4.111959    1.543785E-04    1.177914E-04    3.133856E+02    4.107260E+02
   32178   2   -4.124966    1.822008E-04    1.413328E-04    2.655312E+02    3.423126E+02
   32179   2   -4.137565    1.832007E-04    1.444954E-04    2.640819E+02    3.348204E+02
   32180   2   -4.149718    1.823442E-04    1.462020E-04    2.653224E+02    3.309121E+02
   32181   2   -4.161387    1.817063E-04    1.480724E-04    2.662539E+02    3.267320E+02
   32182   2   -4.172540    1.813044E-04    1.501231E-04    2.668441E+02    3.222688E+02
   32183   2   -4.183142    1.811165E-04    1.523354E-04    2.671209E+02    3.175887E+02
   32184   2   -4.193164    1.811200E-04    1.546860E-04    2.671158E+02    3.127627E+02
   32185   2   -4.202577    1.812907E-04    1.571465E-04    2.668642E+02    3.078655E+02
   32186   2   -4.211355    1.815998E-04    1.596804E-04    2.664100E+02    3.029802E+02
   32187   2   -4.219473    1.819344E-04    1.621723E-04    2.659201E+02    2.983247E+02
   32188   2   -4.226910    1.814471E-04    1.638347E-04    2.666342E+02    2.952976E+02
   32189   2   -4.233647    1.768037E-04    1.615540E-04    2.736368E+02    2.994664E+02
   32190   2   -4.239666    1.624884E-04    1.500444E-04    2.977443E+02    3.224378E+02
   32191   2   -4.244952    1.367460E-04    1.273741E-04    3.537945E+02    3.798260E+02
   32192   2   -4.249492    1.053086E-04    9.873299E-05    4.594116E+02    4.900085E+02
   32203   2   -4.248481    1.023081E-04    9.662803E-05    4.728851E+02    5.006829E+02
   32204   2   -4.243767    1.338921E-04    1.250269E-04    3.613357E+02    3.869567E+02
   32205   2   -4.238312    1.602531E-04    1.479331E-04    3.018974E+02    3.270397E+02
   32206   2   -4.232131    1.753907E-04    1.600546E-04    2.758413E+02    3.022718E+02
   32207   2   -4.225238    1.808033E-04    1.630882E-04    2.675837E+02    2.966494E+02
   32208   2   -4.217653    1.819344E-04    1.621723E-04    2.659201E+02    2.983247E+02
   32209   2   -4.209396    1.821124E-04    1.603698E-04    2.656600E+02    3.016777E+02
   32210   2   -4.200488    1.821712E-04    1.584432E-04    2.655743E+02    3.053459E+02
   32211   2   -4.190956    1.822100E-04    1.564877E-04    2.655178E+02    3.091618E+02
   32212   2   -4.180826    1.822499E-04    1.545236E-04    2.654596E+02    3.130914E+02
   32213   2   -4.170127    1.823137E-04    1.525683E-04    2.653668E+02    3.171039E+02
   32214   2   -4.158890    1.824295E-04    1.506398E-04    2.651983E+02    3.211635E+02
   32215   2   -4.147149    1.826313E-04    1.487575E-04    2.649053E+02    3.252273E+02
   32216   2   -4.134938    1.829203E-04    1.469125E-04    2.644868E+02    3.293117E+02
   32217   2   -4.122294    1.813091E-04    1.435431E-04    2.668371E+02    3.370416E+02
   32218   2   -4.109254    1.538309E-04    1.201347E-04    3.145011E+02    4.027147E+02
   32476   2   -4.103896    1.023296E-04    7.763732E-05    4.727861E+02    6.231539E+02
   32477   2   -4.116848    1.706299E-04    1.313227E-04    2.835376E+02    3.684056E+02
   32478   2   -4.129398    1.830148E-04    1.431037E-04    2.643502E+02    3.380764E+02
   32479   2   -4.141511    1.827163E-04    1.451458E-04    2.647821E+02    3.333200E+02
   32480   2   -4.153151    1.820233E-04    1.468721E-04    2.657901E+02    3.294023E+02
   32481   2   -4.164285    1.815656E-04    1.487800E-04    2.664601E+02    3.251782E+02
   32482   2   -4.174881    1.813291E-04    1.508588E-04    2.668077E+02    3.206973E+02
   32483   2   -4.184913    1.812907E-04    1.530867E-04    2.668642E+02    3.160300E+02
   32484   2   -4.194351    1.814263E-04    1.554373E-04    2.666648E+02    3.112509E+02
   32485   2   -4.203172    1.817104E-04    1.578784E-04    2.662479E+02    3.064383E+02
   32486   2   -4.211355    1.821124E-04    1.603698E-04    2.656600E+02    3.016777E+02
   32487   2   -4.218878    1.825368E-04    1.628087E-04    2.650425E+02    2.971586E+02
   32488   2   -4.225723    1.823954E-04    1.646380E-04    2.652480E+02    2.938569E+02
   32489   2   -4.231877    1.795401E-04    1.638362E-04    2.694663E+02    2.952950E+02
   32490   2   -4.237324    1.702873E-04    1.568707E-04    2.841081E+02    3.084068E+02
   32491   2   -4.242054    1.526601E-04    1.417138E-04    3.169132E+02    3.413923E+02
